# path<TAB>value<TAB>specific temporary reason
design-system/layouts/AppShell/Sidebar.tsx	#4ade80	Sidebar Happy wordmark residue preserved for a later approved replacement unit
design-system/layouts/AppShell/Sidebar.tsx	#4ade80	Sidebar Brandmark residue preserved for a later approved replacement unit
design-system/layouts/AppShell/TopBar.tsx	#4ade80	Retired TopBar Brandmark residue preserved until the later approved cleanup unit
design-system/layouts/AppShell/TopBar.tsx	#4ade80	Retired TopBar Happy wordmark residue preserved until the later approved cleanup unit
features/todos/strings.ts	#2b5c3a	Todos active-status text residue preserved for the later approved Todos unit
features/todos/strings.ts	#575249	Todos failed-status text residue preserved for the later approved Todos unit
features/todos/strings.ts	#575249	Todos inactive-status text residue preserved for the later approved Todos unit
features/todos/strings.ts	#e3efe5	Todos active-status background residue preserved for the later approved Todos unit
features/todos/strings.ts	#efece2	Todos inactive-status background residue preserved for the later approved Todos unit
features/todos/strings.ts	#f3e8d6	Todos failed-status background residue preserved for the later approved Todos unit
